"string","num","next_word","nchar"
"of",64875,"the",2
"in",61753,"the",2
"to",32359,"the",2
"for",29991,"the",3
"on",29951,"the",2
"to",24219,"be",2
"at",21133,"the",2
"and",18719,"the",3
"in",17785,"a",2
"with",15932,"the",4
"is",14987,"a",2
"for",14101,"a",3
"it",13995,"was",2
"from",13175,"the",4
"i",12663,"was",1
"i",12660,"have",1
"with",12417,"a",4
"will",12302,"be",4
"and",12267,"i",3
"going",12070,"to",5
"it",12065,"is",2
"of",12017,"a",2
"i",11268,"am",1
"is",11131,"the",2
"have",10996,"a",4
"if",10973,"you",2
"one",10879,"of",3
"to",10673,"get",2
"as",10269,"a",2
"want",9564,"to",4
"by",9264,"the",2
"that",9212,"the",4
"have",9128,"to",4
"and",8813,"a",3
"this",8716,"is",4
"to",8638,"do",2
"out",8545,"of",3
"the",8534,"first",3
"i",8489,"think",1
"was",8466,"a",3
"that",8425,"i",4
"to",8402,"a",2
"to",8128,"see",2
"on",8107,"a",2
"all",7702,"the",3
"but",7545,"i",3
"i",7455,"love",1
"you",7285,"can",3
"the",7242,"same",3
"to",7233,"make",2
"i",7189,"dont",1
"a",7188,"lot",1
"have",7078,"been",4
"be",6999,"a",2
"he",6853,"was",2
"thanks",6703,"for",6
"of",6639,"my",2
"has",6633,"been",3
"a",6614,"few",1
"need",6543,"to",4
"would",6541,"be",5
"you",6465,"are",3
"in",6369,"my",2
"more",6361,"than",4
"about",6291,"the",5
"as",6267,"the",2
"a",6182,"great",1
"you",6181,"have",3
"when",6125,"i",4
"a",6101,"little",1
"i",6072,"can",1
"i",6010,"had",1
"to",5977,"go",2
"to",5958,"have",2
"he",5915,"said",2
"the",5891,"best",3
"into",5834,"the",4
"a",5793,"good",1
"had",5755,"a",3
"they",5741,"are",4
"thank",5716,"you",5
"i",5659,"know",1
"we",5517,"are",2
"i",5498,"just",1
"there",5359,"is",5
"that",5307,"is",4
"is",5300,"not",2
"the",5075,"new",3
"over",5071,"the",4
"the",5017,"most",3
"so",4950,"i",2
"like",4945,"a",4
"a",4914,"new",1
"lot",4905,"of",3
"there",4903,"are",5
"i",4879,"will",1
"the",4870,"world",3
"part",4758,"of",4
"we",4713,"have",2
"do",4706,"you",2
"so",4698,"much",2
"but",4661,"the",3
"trying",4655,"to",6
"was",4616,"the",3
"i",4515,"would",1
"all",4479,"of",3
"said",4444,"the",4
"at",4443,"least",2
"on",4439,"my",2
"and",4389,"then",3
"as",4383,"well",2
"able",4367,"to",4
"are",4309,"you",3
"the",4296,"way",3
"can",4264,"be",3
"some",4232,"of",4
"back",4224,"to",4
"if",4213,"i",2
"you",4210,"know",3
"the",4183,"last",3
"of",4154,"his",2
"at",4146,"a",2
"is",4062,"that",2
"the",4009,"other",3
"to",4009,"me",2
"when",4007,"you",4
"to",3994,"take",2
"in",3972,"this",2
"i",3922,"want",1
"up",3921,"to",2
"time",3903,"to",4
"go",3875,"to",2
"the",3853,"time",3
"way",3840,"to",3
"for",3814,"me",3
"the",3787,"next",3
"and",3745,"it",3
"according",3619,"to",9
"that",3606,"he",4
"its",3597,"a",3
"that",3588,"was",4
"should",3582,"be",6
"he",3581,"is",2
"i",3577,"cant",1
"kind",3549,"of",4
"right",3549,"now",5
"i",3548,"could",1
"what",3547,"i",4
"had",3531,"to",3
"the",3525,"only",3
"the",3519,"day",3
"be",3502,"the",2
"of",3489,"this",2
"to",3480,"my",2
"when",3474,"the",4
"the",3443,"end",3
"in",3430,"his",2
"but",3426,"it",3
"this",3423,"year",4
"they",3346,"were",4
"has",3336,"a",3
"to",3333,"say",2
"of",3272,"course",2
"me",3258,"to",2
"that",3251,"you",4
"from",3249,"a",4
"through",3199,"the",7
"i",3195,"got",1
"as",3184,"i",2
"i",3179,"need",1
"a",3177,"bit",1
"would",3168,"have",5
"with",3151,"my",4
"get",3145,"a",3
"of",3142,"our",2
"i",3139,"do",1
"like",3088,"the",4
"and",3025,"that",3
"after",3017,"the",5
"that",3010,"it",4
"which",2995,"is",5
"how",2992,"to",3
"it",2992,"to",2
"like",2984,"to",4
"said",2971,"he",4
"are",2951,"the",3
"wanted",2936,"to",6
"have",2929,"the",4
"to",2926,"work",2
"im",2916,"not",2
"new",2894,"york",3
"for",2890,"you",3
"not",2888,"a",3
"up",2887,"the",2
"it",2886,"would",2
"out",2879,"the",3
"that",2866,"we",4
"this",2854,"week",4
"and",2849,"we",3
"during",2848,"the",6
"of",2843,"their",2
"i",2828,"hope",1
"to",2828,"help",2
"the",2822,"city",3
"she",2818,"was",3
"the",2818,"state",3
"into",2809,"a",4
"is",2798,"to",2
"we",2795,"can",2
"of",2787,"them",2
"cant",2785,"wait",4
"to",2756,"find",2
