"string","num","next_word","nchar"
NA,558,"the",NA
NA,272,"the",NA
NA,232,"in",NA
NA,204,"day",NA
NA,182,"the",NA
NA,178,"the",NA
NA,158,"for",NA
NA,147,"a",NA
NA,144,"a",NA
NA,144,"of",NA
NA,127,"you",NA
NA,126,"of",NA
NA,122,"you",NA
NA,120,"most",NA
NA,118,"see",NA
NA,110,"all",NA
NA,107,"the",NA
NA,106,"year",NA
NA,103,"since",NA
NA,103,"be",NA
NA,102,"of",NA
NA,101,"the",NA
NA,100,"out",NA
NA,97,"a",NA
NA,95,"much",NA
NA,92,"the",NA
NA,91,"the",NA
NA,88,"to",NA
NA,87,"the",NA
NA,87,"follow",NA
NA,82,"with",NA
NA,81,"work",NA
NA,79,"great",NA
NA,79,"rt",NA
NA,79,"day",NA
NA,77,"what",NA
NA,76,"who",NA
NA,76,"best",NA
NA,76,"month",NA
NA,76,"night",NA
NA,74,"the",NA
NA,73,"time",NA
NA,70,"i",NA
NA,70,"kid",NA
NA,69,"one",NA
NA,68,"do",NA
NA,68,"the",NA
NA,68,"the",NA
NA,66,"be",NA
NA,66,"of",NA
NA,66,"to",NA
NA,65,"great",NA
NA,65,"the",NA
NA,64,"to",NA
NA,64,"the",NA
NA,64,"to",NA
NA,64,"the",NA
NA,63,"the",NA
NA,63,"average",NA
NA,63,"is",NA
NA,62,"the",NA
NA,62,"win",NA
NA,62,"favorite",NA
NA,62,"the",NA
NA,62,"the",NA
NA,62,"time",NA
NA,61,"s",NA
NA,61,"the",NA
NA,61,"a",NA
NA,60,"to",NA
NA,60,"world",NA
NA,59,"you",NA
NA,59,"a",NA
NA,58,"ago",NA
NA,58,"the",NA
NA,58,"the",NA
NA,57,"up",NA
NA,57,"the",NA
NA,56,"of",NA
NA,56,"to",NA
NA,56,"of",NA
NA,55,"to",NA
NA,55,"see",NA
NA,55,"you",NA
NA,55,"important",NA
NA,55,"who",NA
NA,55,"season",NA
NA,54,"ass",NA
NA,54,"the",NA
NA,54,"be",NA
NA,54,"states",NA
NA,54,"time",NA
NA,53,"with",NA
NA,53,"a",NA
NA,53,"day",NA
NA,52,"the",NA
NA,52,"half",NA
NA,52,"be",NA
NA,52,"questions",NA
NA,52,"the",NA
NA,52,"above",NA
NA,52,"the",NA
NA,51,"there",NA
NA,51,"be",NA
NA,51,"pp",NA
NA,51,"you",NA
NA,51,"the",NA
NA,50,"time",NA
NA,50,"this",NA
NA,50,"i",NA
NA,50,"what",NA
NA,50,"that",NA
NA,49,"do",NA
NA,49,"to",NA
NA,49,"do",NA
NA,49,"road",NA
NA,49,"the",NA
NA,48,"the",NA
NA,48,"with",NA
NA,48,"to",NA
NA,48,"a",NA
NA,48,"a",NA
NA,47,"a",NA
NA,47,"good",NA
NA,47,"mi",NA
NA,47,"the",NA
NA,47,"run",NA
NA,47,"how",NA
NA,46,"ago",NA
NA,46,"with",NA
NA,46,"great",NA
NA,46,"to",NA
NA,46,"you",NA
NA,45,"is",NA
NA,45,"while",NA
NA,45,"this",NA
NA,45,"or",NA
NA,45,"the",NA
NA,45,"you",NA
NA,45,"the",NA
NA,45,"the",NA
NA,44,"one",NA
NA,44,"the",NA
NA,44,"that",NA
NA,43,"the",NA
NA,43,"of",NA
NA,43,"a",NA
NA,43,"i",NA
NA,43,"of",NA
NA,43,"be",NA
NA,43,"be",NA
NA,43,"think",NA
NA,43,"the",NA
NA,42,"the",NA
NA,42,"out",NA
NA,42,"cake",NA
NA,42,"work",NA
NA,42,"the",NA
NA,42,"out",NA
NA,42,"the",NA
NA,41,"for",NA
NA,41,"to",NA
NA,41,"to",NA
NA,41,"for",NA
NA,41,"of",NA
NA,41,"the",NA
NA,41,"share",NA
NA,41,"to",NA
NA,41,"please",NA
NA,41,"of",NA
NA,41,"the",NA
NA,40,"get",NA
NA,40,"of",NA
NA,40,"fun",NA
NA,40,"and",NA
NA,40,"time",NA
NA,40,"comment",NA
NA,40,"ff",NA
NA,40,"came",NA
NA,40,"the",NA
NA,40,"the",NA
NA,39,"half",NA
NA,39,"a",NA
NA,39,"a",NA
NA,39,"the",NA
NA,39,"with",NA
NA,39,"you",NA
NA,39,"the",NA
NA,39,"world",NA
NA,39,"to",NA
NA,38,"go",NA
NA,38,"long",NA
NA,38,"weeks",NA
NA,38,"the",NA
NA,38,"to",NA
NA,38,"years",NA
NA,38,"exchange",NA
NA,38,"week",NA
NA,38,"of",NA
NA,38,"those",NA
NA,38,"the",NA
NA,38,"time",NA
NA,37,"subject",NA
NA,37,"a",NA
NA,37,"to",NA
NA,37,"amazon",NA
NA,37,"amazoncom",NA
NA,37,"and",NA
NA,37,"designed",NA
NA,37,"is",NA
NA,37,"amazon",NA
